dns_record_type
A
AAAA
AFSDB
APL
CAA
CDNSKEY
CDS
CERT
CNAME
DHCID
DLV
DNAME
DNSKEY
DS
HIP
IPSECKEY
KEY
KX
LOC
MX
NAPTR
NS
NSEC
NSEC3
NSEC3PARAM
PTR
RRSIG
RP
SIG
SOA
SRV
SSHFP
TA
TKEY
TLSA
TSIG
TXT
URI
AXFR
IXFR
OPT
