domain,type,original_reference
*bossmb.com,malicious,www.mwsl.org.cn/
*csbjkj.com,malicious,www.mwsl.org.cn/
*www.hengjia8.com,malicious,www.mwsl.org.cn/
*www.laobaozj.com,malicious,www.mwsl.org.cn/
*www.qhdast.com,malicious,www.mwsl.org.cn/
*www.rsrly.com,malicious,www.mwsl.org.cn/
*www.stkjw.net,malicious,www.mwsl.org.cn/
*www.xtewx.com,malicious,www.mwsl.org.cn/
*www.yc1234.com,malicious,www.mwsl.org.cn/
*yserch.com,malicious,www.mwsl.org.cn/
*s8s8s8.com,malicious,www.mwsl.org.cn/
*seqsixxx.com,malicious,www.mwsl.org.cn/
*test.gaxtoa.com,malicious,www.mwsl.org.cn/
*v1tj.jiguangie.com,malicious,www.mwsl.org.cn/
*tz.jiguangie.com,malware,www.mwsl.org.cn
*www.vipmingxing.com,malware,www.mwsl.org.cn
*xiazai.dns-vip.net,malware,www.mwsl.org.cn
*andlu.org,attackpage,safebrowsing.google.com
*din8win7.in,attackpage,safebrowsing.google.com
*okboobs.com,attackpage,safebrowsing.google.com
*qwepa.com,attackpage,safebrowsing.google.com
*stroyeq.ru,attackpage,safebrowsing.google.com
*yixingim.com,attackpage,safebrowsing.google.com
*huohuasheji.com,malicious,www.mwsl.org.cn/
*man1234.com,malicious,www.mwsl.org.cn/
*www.jwdn.net,malicious,www.mwsl.org.cn/
*blacksoftworld.com,attackpage,safebrowsing.google.com
*bradyhansen.com,attackpage,safebrowsing.google.com
*stabroom.cn,attackpage,safebrowsing.google.com
*www.infoaz.nl,attackpage,safebrowsing.google.com
*abbyspanties.com,malicious,safebrowsing.clients.google.com
*cheshirehockey.com,attackpage,safebrowsing.google.com
*cibonline.org,attackpage,safebrowsing.google.com
*embedor.com,attackpage,safebrowsing.clients.google.com
*ensenadasportfishing.com,attackpage,safebrowsing.clients.google.com
*eurolatexthai.com,attackpage,safebrowsing.clients.google.com
*falconexport.com,attackpage,safebrowsing.clients.google.com
*assexyas.com,attackpage,safebrowsing.clients.google.com
*eloyed.com,attackpage,safebrowsing.clients.google.com
*mogyang.net,attackpage,safebrowsing.clients.google.com
*mulbora.com,attackpage,safebrowsing.clients.google.com
*porn-girls-nude-and-horny.com,attackpage,safebrowsing.clients.google.com
*qabbanihost.com,attackpage,safebrowsing.clients.google.com
*soluxury.co.uk,attackpage,safebrowsing.clients.google.com
*specialistups.com,attackpage,safebrowsing.clients.google.com
*seres.https443.net,apt,safebrowsing.clients.google.com
*sujet-du-bac.com,attackpage,safebrowsing.clients.google.com
*3years.lethanon.net,attackpage,siteinspector.comodo.com
